0206B||1579859319
0206A||1579859315
0109B||1587265711
0101A||1586146314
0113B||1586519625
0113A||1586519620
0202B||1580268111
0202A||1580268104
0109A||1587265705
0112B||1586832022
0205B||1579514756
0116A||1585562309
0205A||1579514746
0108B||1587893864
0108A||1587893856
0112A||1586832017
0201B||1580268100
0201A||1580268086
0213B||132218181857280193
0213A||132218184118989556
0116B||1585562298
0209B||1578884404
0209A||1578715245
0111B||1587004941
0111A||1587004933
temp（默认）Jin||0
0204A||1580268127
0216B||132214776666034395
0301A||132436573447122831
0216A||1584525731
0301B||132436634688436183
0208B||132238798528402193
0212B||1579487621
0212A||1579487599
0115B||1586414889
0204B||1580268131
0115A||1586414879
0208A||1578540224
0110B||1587265696
0110A||1587265682
0211B||132238791934705055
0215A||1584525725
0106B||1587893873
0106A||1587893867
0211A||1579158232
0203B||1580268120
0203A||1580268116
0215B||1578026945
0210B||1579059356
0210A||1578990419
0101B||1586146320
